batch,seq_len,elapsed_ms,peak_vram_mb,tokens,tok_per_sec,status
2,256,812.6100326674836,31.90625,512,630.0685192370843,OK
2,512,367.95071300002746,46.18359375,1024,2782.9814261018255,OK
2,1024,478.55609066512744,77.26953125,2048,4279.540141582067,OK
2,2048,589.0501583344303,132.1328125,4096,6953.567437417641,OK
2,4096,1135.142559670688,249.583984375,8192,7216.714702668316,OK
2,8192,2085.447395996501,475.5703125,16384,7856.347770484587,OK
1,2048,947.7783369948156,77.267578125,2048,2160.8428047572083,OK
2,2048,1232.550406003914,132.1328125,4096,3323.190662262451,OK
4,2048,1391.1990013342195,249.583984375,8192,5888.445860113126,OK
