batch,seq_len,elapsed_ms,peak_vram_mb,tokens,tok_per_sec,status
2,256,972.2535220013621,31.15625,512,526.6116176633225,OK
2,512,2647.958154663987,32.4931640625,1024,386.71305971976005,OK
2,1024,3934.141241663989,33.2587890625,2048,520.5710405897312,OK
2,2048,9915.19493899735,40.275390625,4096,413.1033252699919,OK
2,4096,16579.496839665808,63.478515625,8192,494.1042589664697,OK
2,8192,31076.43509233215,110.384765625,16384,527.2161993909853,OK
1,2048,5272.979970662466,28.673828125,2048,388.3951790817634,OK
2,2048,4860.350322667121,40.275390625,4096,842.7376069781565,OK
4,2048,7943.375262664631,63.478515625,8192,1031.2996338601743,OK
