batch,seq_len,elapsed_ms,peak_vram_mb,tokens,tok_per_sec,status
2,256,2264.545743664106,31.03125,512,226.09390931161673,OK
2,512,2143.1539089923413,32.2431640625,1024,477.8004956636361,OK
2,1024,1972.887229678842,32.7587890625,2048,1038.0725107807532,OK
2,2048,4379.819791996852,32.7900390625,4096,935.1982945701398,OK
2,4096,12991.305835661478,32.8525390625,8192,630.5755636598703,OK
2,8192,23193.010117664624,32.9775390625,16384,706.4197323624397,OK
1,2048,6376.929353670373,25.5576171875,2048,321.157705600303,OK
2,2048,7668.096100348824,32.7900390625,4096,534.1612763321617,OK
4,2048,7833.1087453407235,47.1923828125,8192,1045.8172184667744,OK
